Source File Name:	Analyzer
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
20	0.00237194
20.625	0.001633012
21.25	0.001264398
21.875	0.001102941
22.5	0.0009980917
23.125	0.0009330599
23.75	0.0008890086
24.375	0.0008103609
25	0.000760265
25.625	0.000707262
26.25	0.0006674554
26.875	0.0006197729
27.5	0.0005855816
28.125	0.0005381225
28.75	0.0005027542
29.375	0.0004620119
30	0.0004282104
30.625	0.0003987251
31.25	0.0003812001
31.875	0.0003700275
32.5	0.0003707995
33.125	0.0003854534
33.75	0.0003976366
34.375	0.0004283608
35	0.0004542806
35.625	0.0004759942
36.25	0.0004982932
36.875	0.0005075373
37.5	0.0004969239
38.125	0.000485705
38.75	0.0004651884
39.375	0.000439604
40	0.000426147
40.625	0.0004231317
41.25	0.0004106899
41.875	0.000403189
42.5	0.0004002733
43.125	0.0003900823
43.75	0.0003889372
44.375	0.0003851063
45	0.0003931049
45.625	0.0003908953
46.25	0.0003996165
46.875	0.000400291
47.5	0.0004095567
48.125	0.0004176937
48.75	0.0004215569
49.375	0.0004368788
50	0.0004475451
50.625	0.0004594106
51.25	0.0004652555
51.875	0.0004774986
52.5	0.0004839308
53.125	0.0004870928
53.75	0.0004930307
54.375	0.000492613
55	0.0004986295
55.625	0.0004964113
56.25	0.0005031903
56.875	0.0005055718
57.5	0.0005017954
58.125	0.0005169696
58.75	0.0005234644
59.375	0.0005080934
60	0.0005145661
60.625	0.0005199512
61.25	0.0005198771
61.875	0.0005199746
62.5	0.0005169801
63.125	0.0005110771
63.75	0.000511502
64.375	0.0005010231
65	0.0005014092
65.625	0.0004924463
66.25	0.0004904232
66.875	0.0004823902
67.5	0.0004754286
68.125	0.0004656801
68.75	0.0004573596
69.375	0.0004610545
70	0.0004516704
70.625	0.0004493561
71.25	0.0004394129
71.875	0.0004327076
72.5	0.0004195842
73.125	0.0004138322
73.75	0.0004055885
74.375	0.0004001748
75	0.0003931695
75.625	0.0003840708
76.25	0.00037485
76.875	0.0003663544
77.5	0.0003581756
78.125	0.0003539865
78.75	0.0003507321
79.375	0.0003472961
80	0.0003400488
80.625	0.0003442037
81.25	0.0003400446
81.875	0.0003373449
82.5	0.000334196
83.125	0.0003308944
83.75	0.0003310468
84.375	0.0003297853
85	0.000326849
85.625	0.000323302
86.25	0.0003269934
86.875	0.0003192747
87.5	0.0003168613
88.125	0.0003094653
88.75	0.0003100169
89.375	0.0003123951
90	0.0003155939
90.625	0.0003156672
91.25	0.0003146904
91.875	0.0003128028
92.5	0.0003115652
93.125	0.0003131228
93.75	0.0003124473
94.375	0.0003108681
95	0.0003078668
95.625	0.0003044747
96.25	0.000298582
96.875	0.0002888016
97.5	0.0002928966
98.125	0.0002838785
98.75	0.0002812371
99.375	0.0002714876
100	0.0002731962
100.625	0.0002661004
101.25	0.0002656501
101.875	0.0002627326
102.5	0.0002579693
103.125	0.0002550967
103.75	0.0002430986
104.375	0.0002432237
105	0.0002362628
105.625	0.0002317454
106.25	0.0002212598
106.875	0.000216205
107.5	0.0002046623
108.125	0.0001944269
108.75	0.0001885238
109.375	0.0001832432
110	0.0001775227
110.625	0.000171313
111.25	0.0001670375
111.875	0.0001629883
112.5	0.000157503
113.125	0.000156539
113.75	0.0001499795
114.375	0.0001490382
115	0.0001421826
115.625	0.0001448546
116.25	0.0001409494
116.875	0.0001390817
117.5	0.0001366084
118.125	0.0001389088
118.75	0.0001345157
119.375	0.0001278529
120	0.0001298238
120.625	0.0001315589
121.25	0.0001368612
121.875	0.0001311915
122.5	0.0001322842
123.125	0.0001330138
123.75	0.0001411095
124.375	0.0001364614
125	0.0001451227
125.625	0.0001503138
126.25	0.0001527479
126.875	0.0001552179
127.5	0.0001597057
128.125	0.0001600169
128.75	0.0001608056
129.375	0.0001617091
130	0.0001560041
130.625	0.0001565616
131.25	0.0001565816
131.875	0.0001546385
132.5	0.0001565185
133.125	0.0001579771
133.75	0.0001549415
134.375	0.0001500981
135	0.0001528382
135.625	0.0001467396
136.25	0.0001522647
136.875	0.0001536343
137.5	0.0001533987
138.125	0.0001530346
138.75	0.0001527473
139.375	0.0001471844
140	0.0001430526
140.625	0.0001435532
141.25	0.0001347743
141.875	0.0001336959
142.5	0.0001309481
143.125	0.0001276763
143.75	0.0001246429
144.375	0.0001281288
145	0.0001196433
145.625	0.0001211006
146.25	0.0001223063
146.875	0.0001251302
147.5	0.000135364
148.125	0.000145059
148.75	0.0001475386
149.375	0.000160785
150	0.0001781707
150.625	0.0001867373
151.25	0.0002004283
151.875	0.0002218366
152.5	0.0002344364
153.125	0.0002560788
153.75	0.0002766589
154.375	0.0003001142
155	0.0003258873
155.625	0.0003531946
156.25	0.0003675038
156.875	0.0003980543
157.5	0.0004247304
158.125	0.0004538268
158.75	0.0004897296
159.375	0.0005274047
160	0.0005595489
160.625	0.0005912743
161.25	0.0006286909
161.875	0.0006650545
162.5	0.0007047384
163.125	0.0007398788
163.75	0.0007755095
164.375	0.0008104215
165	0.0008363427
165.625	0.0008625735
166.25	0.0008794427
166.875	0.0008828285
167.5	0.0008688244
168.125	0.0008465716
168.75	0.0008088218
169.375	0.0007662144
170	0.0007156506
170.625	0.0006543459
171.25	0.0006015879
171.875	0.0005399732
172.5	0.0004833547
173.125	0.0004290967
173.75	0.000386754
174.375	0.0003328019
175	0.0002978438
175.625	0.0002597725
176.25	0.0002278204
176.875	0.0001954298
177.5	0.0001723867
178.125	0.0001426455
178.75	0.0001163351
179.375	9.973771e-5
180	7.833439e-5
180.625	7.154141e-5
181.25	6.63557e-5
181.875	7.055586e-5
182.5	7.323067e-5
183.125	8.42161e-5
183.75	9.46562e-5
184.375	9.968115e-5
185	0.0001062247
185.625	0.0001176234
186.25	0.000119417
186.875	0.0001259128
187.5	0.0001286636
188.125	0.0001333298
188.75	0.0001281928
189.375	0.0001375813
190	0.0001413769
190.625	0.000150744
191.25	0.0001577508
191.875	0.0001646839
192.5	0.0001715195
193.125	0.0001745749
193.75	0.0001799355
194.375	0.0001848048
195	0.0001951984
195.625	0.0001962433
196.25	0.0001969799
196.875	0.0002003019
197.5	0.0001957958
198.125	0.0001960139
198.75	0.0001976188
199.375	0.0001997784
200	0.0001954654
200.625	0.0001965976
201.25	0.0001969315
201.875	0.0001961273
202.5	0.0002006082
203.125	0.0001992037
203.75	0.0002029841
204.375	0.0002028275
205	0.0002085201
205.625	0.0002054139
206.25	0.0002056544
206.875	0.0002058072
207.5	0.0002046694
208.125	0.0002033345
208.75	0.0002001772
209.375	0.000201472
210	0.0002011836
210.625	0.0002030828
211.25	0.0001987689
211.875	0.0002019109
212.5	0.0002034806
213.125	0.0001967421
213.75	0.0001973927
214.375	0.0001990342
215	0.0001957908
215.625	0.0001922301
216.25	0.0001903651
216.875	0.0001812686
217.5	0.0001721035
218.125	0.0001720356
218.75	0.0001681106
219.375	0.0001693211
220	0.0001651595
220.625	0.0001667703
221.25	0.0001609739
221.875	0.0001585025
222.5	0.0001576224
223.125	0.0001594218
223.75	0.0001657132
224.375	0.0001587098
225	0.0001590038
225.625	0.0001525557
226.25	0.0001490979
226.875	0.0001367193
227.5	0.0001388922
228.125	0.0001303671
228.75	0.0001222751
229.375	0.0001168494
230	0.0001081332
230.625	0.0001019832
231.25	9.253849e-5
231.875	9.123886e-5
232.5	7.939804e-5
233.125	8.674446e-5
233.75	8.038095e-5
234.375	9.667137e-5
235	0.0001080528
235.625	0.000124893
236.25	0.0001362527
236.875	0.0001536255
237.5	0.0001685895
238.125	0.0001839712
238.75	0.0002015045
239.375	0.0002128256
240	0.0002321913
240.625	0.0002460581
241.25	0.0002629159
241.875	0.0002744484
242.5	0.0002903639
243.125	0.000299149
243.75	0.0003105999
244.375	0.0003246562
245	0.0003324554
245.625	0.0003510165
246.25	0.0003643706
246.875	0.0003772285
247.5	0.000385793
248.125	0.000396867
248.75	0.0004010586
249.375	0.0004153988
250	0.0004292153
250.625	0.0004306542
251.25	0.0004385501
251.875	0.0004413833
252.5	0.0004436125
253.125	0.0004447463
253.75	0.0004515102
254.375	0.0004564401
255	0.0004574123
255.625	0.0004614231
256.25	0.0004587967
256.875	0.0004628849
257.5	0.0004631598
258.125	0.000459078
258.75	0.0004556736
259.375	0.0004546782
260	0.0004452439
260.625	0.0004350558
261.25	0.0004356471
261.875	0.0004199051
262.5	0.0004085885
263.125	0.0004023513
263.75	0.00038639
264.375	0.0003697894
265	0.000359373
265.625	0.000348808
266.25	0.0003332497
266.875	0.0003229041
267.5	0.0003093402
268.125	0.0002928761
268.75	0.0002783577
269.375	0.000255618
270	0.0002405712
270.625	0.0002211132
271.25	0.0002061135
271.875	0.000186022
272.5	0.0001777439
273.125	0.0001582755
273.75	0.0001527821
274.375	0.0001498717
275	0.0001499941
275.625	0.0001573602
276.25	0.0001638127
276.875	0.0001726655
277.5	0.0001813457
278.125	0.0001896281
278.75	0.0002114048
279.375	0.0002273302
280	0.00024047
280.625	0.0002604883
281.25	0.0002742323
281.875	0.0002892097
282.5	0.0003049741
283.125	0.0003305749
283.75	0.0003444577
284.375	0.0003728776
285	0.0003876062
285.625	0.0004022125
286.25	0.0004117417
286.875	0.0004312911
287.5	0.0004445298
288.125	0.0004582572
288.75	0.000474771
289.375	0.0004855593
290	0.0004980837
290.625	0.0005105718
291.25	0.0005196283
291.875	0.0005358958
292.5	0.0005529391
293.125	0.0005651347
293.75	0.0005770955
294.375	0.0005890059
295	0.0005987248
295.625	0.0006048894
296.25	0.0006153076
296.875	0.00061992
297.5	0.0006313846
298.125	0.0006319429
298.75	0.0006387223
299.375	0.0006365629
300	0.0006415446
300.625	0.0006395098
301.25	0.0006404826
301.875	0.0006425536
302.5	0.0006421092
303.125	0.0006428297
303.75	0.0006394717
304.375	0.0006414863
305	0.0006324211
305.625	0.0006272548
306.25	0.0006174716
306.875	0.000607924
307.5	0.000594871
308.125	0.0005876421
308.75	0.0005777128
309.375	0.0005619001
310	0.0005519199
310.625	0.0005355245
311.25	0.0005178196
311.875	0.0005106616
312.5	0.0004988969
313.125	0.0004841552
313.75	0.0004691282
314.375	0.0004558467
315	0.000434357
315.625	0.000420103
316.25	0.0004015343
316.875	0.0003828117
317.5	0.0003708599
318.125	0.0003453403
