Source File Name:	1,1,3
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	0.0125802	-43.4974
20.5	0.01037697	-25.52268
21	0.007226921	-9.194878
21.5	0.005938095	-32.46935
22	0.005191155	-53.68763
22.5	0.005736739	-52.18844
23	0.004316811	-16.53724
23.5	0.003443747	-8.781885
24	0.004095695	-14.69761
24.5	0.003248983	-29.52625
25	0.002580329	-18.70197
25.5	0.003050623	-52.46356
26	0.002598373	2.815743
26.5	0.002474694	-5.638654
27	0.002539603	9.713135
27.5	0.002223308	6.312181
28	0.002198336	-19.5073
28.5	0.00229536	-47.18389
29	0.002414989	-59.59446
29.5	0.002365507	56.54322
30	0.002093227	23.43613
30.5	0.002343872	3.727324
31	0.002226608	-56.30262
31.5	0.002199027	-85.1185
32	0.002369179	144.6699
32.5	0.001948224	-37.57398
33	0.001888486	-10.38741
33.5	0.001407081	-33.11403
34	0.001438543	-80.26295
34.5	0.001455546	-134.1634
35	0.001236275	-72.6905
35.5	0.001027485	-74.98222
36	0.001139879	-77.9598
36.5	0.001127455	-71.74868
37	0.001100356	-97.80952
37.5	0.0009634273	-87.04942
38	0.0009563544	-86.73659
38.5	0.001052705	-53.94151
39	0.0009422099	-64.90582
39.5	0.0008347225	-67.23701
40	0.0006465646	-73.09767
40.5	0.0006175895	-110.0465
41	0.0006093527	-56.49152
41.5	0.0005047325	-52.54122
42	0.0004121029	-42.59059
42.5	0.0007124054	-59.36491
43	0.0004322519	-71.73654
43.5	0.0003080252	-21.48642
44	0.0005939533	-42.42719
44.5	0.0003668889	-1.36533
45	0.0003498831	7.94832
45.5	0.0003086859	-35.72252
46	0.0003147409	15.70969
46.5	0.0003468241	2.716487
47	0.0001676716	-0.07754706
47.5	0.0003572773	28.61712
48	0.0003719717	61.77067
48.5	0.0004652686	56.3807
49	0.0007568502	55.66837
49.5	0.0004075556	85.79459
50	0.0006948129	92.58635
50.5	0.0008673568	78.83209
51	0.0009013694	74.55023
51.5	0.00083302	87.9602
52	0.0009124606	70.15858
52.5	0.001268623	88.75562
53	0.001091832	87.76295
53.5	0.001124669	73.02308
54	0.001466986	83.52187
54.5	0.00127966	71.37549
55	0.001569886	85.41489
55.5	0.001628717	78.88893
56	0.001636232	90.54458
56.5	0.00164873	85.86752
57	0.001626069	75.43615
57.5	0.001912002	95.54087
58	0.00198363	77.05006
58.5	0.00218564	100.3161
59	0.002443707	86.73377
59.5	0.002476721	79.15488
60	0.002552387	93.42715
60.5	0.002768444	72.34998
61	0.002753667	103.4863
61.5	0.002993944	88.59194
62	0.003079858	89.02664
62.5	0.0031837	88.61821
63	0.003440043	75.67098
63.5	0.003580637	89.81504
64	0.003703699	78.15883
64.5	0.003861036	93.50165
65	0.003928579	71.1447
65.5	0.004098733	80.15545
66	0.004188661	72.83312
66.5	0.004160891	85.19199
67	0.004368318	104.8675
67.5	0.004552732	71.45182
68	0.004847166	84.76338
68.5	0.005140836	61.2919
69	0.005279413	73.15427
69.5	0.005585649	91.95682
70	0.005871044	77.95634
70.5	0.006072197	91.31708
71	0.006462103	62.6432
71.5	0.006757159	77.66531
72	0.007091035	51.31356
72.5	0.007597261	77.58823
73	0.007900475	83.84722
73.5	0.008519792	56.10391
74	0.00901028	71.09569
74.5	0.009432074	33.74182
75	0.0100335	64.55683
75.5	0.01056321	51.79873
76	0.01106515	52.73252
76.5	0.01174112	42.04034
77	0.01229001	29.0374
77.5	0.01293401	46.0055
78	0.01361483	28.99638
78.5	0.01420467	44.76938
79	0.01484912	10.78784
79.5	0.01537685	15.93567
80	0.01588359	9.092638
80.5	0.01627763	-5.321307
81	0.01657375	20.22226
81.5	0.01676341	-14.80589
82	0.01688693	2.487129
82.5	0.0167967	-29.88968
83	0.01675158	-27.37178
83.5	0.01661752	-22.1323
84	0.01632108	-36.07381
84.5	0.01607272	-21.88324
85	0.01568478	-60.48618
85.5	0.01531848	-45.11133
86	0.01504604	-77.82213
86.5	0.01462508	-50.14065
87	0.01426858	-48.47567
87.5	0.01391359	-81.0371
88	0.0134117	-69.57956
88.5	0.01291973	-117.8177
89	0.01234049	-80.90885
89.5	0.011531	-102.2184
90	0.01074598	-108.2022
90.5	0.009740683	-116.481
91	0.008740461	-148.32
91.5	0.007862811	-130.0423
92	0.006889053	-165.7367
92.5	0.005977418	-134.5172
93	0.005152596	-175.7457
93.5	0.004392404	-176.3889
94	0.003703129	174.4293
94.5	0.003275683	151.7686
95	0.002946795	-173.9118
95.5	0.002635081	131.8765
96	0.002475424	149.8077
96.5	0.002249757	120.3388
97	0.002265856	119.9433
97.5	0.002291612	121.655
98	0.002249735	96.74542
98.5	0.002387064	122.1783
99	0.002378934	76.22037
99.5	0.0024491	86.15604
100	0.002571258	36.45596
100.5	0.002622774	73.26576
101	0.002771706	103.2015
101.5	0.002949341	62.38689
102	0.002988311	85.70161
102.5	0.003134257	33.5951
103	0.003354245	61.75726
103.5	0.003474208	40.14728
104	0.003700041	62.99834
104.5	0.003898609	63.00685
105	0.004085555	35.02555
105.5	0.004300998	62.66541
106	0.004530381	16.72062
106.5	0.004739264	69.16182
107	0.005042796	37.44444
107.5	0.005161888	43.94635
108	0.005488804	40.07374
108.5	0.005720944	11.54414
109	0.006068461	73.48554
109.5	0.006288987	21.74119
110	0.006392305	47.65354
110.5	0.006641566	13.06904
111	0.006805378	19.23742
111.5	0.006932531	21.8618
112	0.00719035	-3.48993
112.5	0.007283885	57.87613
113	0.00740867	4.805944
113.5	0.007583401	20.05959
114	0.00760022	-37.29869
114.5	0.007623544	-8.806623
115	0.007679424	45.15151
115.5	0.007732887	1.384739
116	0.007865578	25.79669
116.5	0.007875511	-42.49479
117	0.007912161	7.551144
117.5	0.008102044	-31.75232
118	0.008036645	-4.632617
118.5	0.008070231	13.12156
119	0.00821562	-16.21411
119.5	0.008265652	-10.10776
120	0.00849166	-65.70442
120.5	0.008539126	-2.310444
121	0.008601895	-29.57929
121.5	0.008832077	-10.97455
122	0.0089211	-22.69858
122.5	0.009145896	-46.92488
123	0.009351379	-21.57143
123.5	0.009321751	-54.74142
124	0.009487076	-6.570317
124.5	0.009637191	-42.9532
125	0.009633377	-46.98641
125.5	0.009745205	-45.77209
126	0.009757213	-58.47355
126.5	0.009889898	-12.95806
127	0.009977703	-48.90075
127.5	0.009927659	-42.56839
128	0.00998969	-73.53555
128.5	0.009951547	-63.70942
129	0.009866952	-59.88573
129.5	0.009935796	-71.60931
130	0.009853925	-28.08745
130.5	0.009914068	-76.66393
131	0.009981564	-58.69933
131.5	0.009910115	-90.9287
132	0.009929802	-65.99744
132.5	0.009971946	-32.97886
133	0.009916147	-79.88936
133.5	0.009947399	-69.98741
134	0.009773618	-118.4356
134.5	0.009639875	-86.33788
135	0.009643927	-65.68407
135.5	0.009542058	-76.24702
136	0.009472235	-91.71075
136.5	0.009451057	-121.4412
137	0.009278575	-102.6731
137.5	0.009229222	-133.4466
138	0.009033654	-84.55878
138.5	0.008868671	-93.46352
139	0.008725087	-110.1997
139.5	0.008453005	-92.66525
140	0.008394083	-130.7285
140.5	0.008226388	-101.3568
141	0.008038002	-138.4379
141.5	0.007959429	-92.73476
142	0.007805663	-90.92905
142.5	0.007673967	-109.2835
143	0.007558925	-116.0434
143.5	0.007351353	-133.6306
144	0.007254234	-62.03833
144.5	0.007081456	-110.4611
145	0.006864495	-111.8445
145.5	0.006866684	-166.8987
146	0.006721966	-147.7483
146.5	0.006675886	-54.40913
147	0.006654965	-97.8265
147.5	0.006595396	-109.0664
148	0.006533152	-151.6084
148.5	0.006531865	-119.6184
149	0.006557273	-102.6208
149.5	0.00665838	-131.1035
150	0.006576329	151.8574
150.5	0.006626622	-133.9609
151	0.006771439	-96.89563
