Source File Name:	14,3
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
10	14.75654	23.04166
10.5	15.18569	4.407756
11	15.37208	-13.52479
11.5	16.3093	-34.21349
12	16.49147	-58.5854
12.5	18.42575	-70.17745
13	18.04987	-96.16692
13.5	19.94839	-113.2401
14	17.95492	-137.0816
14.5	18.80659	-157.1311
15	20.01493	176.3944
15.5	20.65893	157.1411
16	21.77551	136.3409
16.5	23.87778	110.9726
17	25.9484	84.93274
17.5	28.29018	57.23228
18	30.03881	28.06577
18.5	31.77402	-10.79873
19	31.51087	-37.13924
19.5	30.72556	-73.80756
20	29.79087	-107.9182
20.5	26.57573	-142.6165
21	21.09398	-172.1139
21.5	17.66762	160.8967
22	14.24951	151.7359
22.5	13.5492	115.2795
23	10.61103	92.26028
23.5	11.48784	74.21409
24	11.10235	54.20131
24.5	10.43167	33.85576
25	10.79088	14.76999
25.5	10.67748	-1.477206
26	10.68162	-20.39145
26.5	10.29759	-39.72882
27	10.21681	-57.09855
27.5	10.2391	-76.23361
28	9.834776	-94.94873
28.5	9.709151	-113.2909
29	9.477856	-130.5187
29.5	9.426683	-148.7532
30	9.167023	-166.5948
30.5	8.858459	176.811
31	8.744586	160.6919
31.5	8.448801	140.8714
32	8.198756	123.6703
32.5	8.145179	108.617
33	7.975962	91.24346
33.5	7.845725	75.55348
34	7.68317	60.11366
34.5	7.620832	44.77847
35	7.598578	28.64959
35.5	7.45743	13.95828
36	7.421492	-0.3597884
36.5	7.55312	-14.75702
37	7.574665	-29.6757
37.5	7.744145	-45.75345
38	7.903077	-59.99674
38.5	8.25642	-75.05563
39	8.552938	-91.81696
39.5	8.854627	-108.6644
40	9.050597	-126.8372
40.5	8.956786	-143.8536
41	8.875224	-161.6031
41.5	8.86796	-179.0045
42	8.67543	164.0715
42.5	8.525846	148.0042
43	8.573844	132.4882
43.5	8.501928	116.278
44	8.559226	99.58074
44.5	8.487386	83.06364
45	8.339396	66.24268
45.5	8.419112	50.7893
46	8.261238	34.31359
46.5	8.173382	17.74904
47	8.073857	2.321663
47.5	8.088931	-13.71203
48	8.025924	-30.19476
48.5	8.036527	-45.69177
49	7.923539	-62.52376
49.5	7.831903	-77.84246
50	7.878965	-91.7317
50.5	7.854287	-108.3624
51	7.738882	-124.9718
51.5	7.519957	-140.9543
52	7.627633	-155.535
52.5	7.596389	-172.6913
53	7.399927	171.8037
53.5	7.38935	156.8652
54	7.44401	142.0271
54.5	7.298106	125.5133
55	7.270191	108.7771
55.5	7.226391	92.27151
56	7.075424	75.95233
56.5	6.999202	61.51391
57	7.142042	45.66741
57.5	6.960839	29.38529
58	6.882189	13.95969
58.5	6.816794	-1.383622
59	6.884853	-17.24928
59.5	6.787986	-33.47488
60	6.693875	-48.86733
60.5	6.586833	-65.14114
61	6.484934	-79.41175
61.5	6.569944	-95.53836
62	6.461878	-111.384
62.5	6.39461	-128.0768
63	6.120048	-143.8663
63.5	6.108614	-157.22
64	6.087694	-174.1055
64.5	6.030961	170.5485
65	5.941547	154.0218
65.5	5.708808	138.5789
66	5.711018	123.3853
66.5	5.516785	107.9265
67	5.53915	93.05141
67.5	5.375214	76.54607
68	5.306184	61.65937
68.5	5.231972	46.55065
69	5.097409	31.44817
69.5	5.123256	15.93501
70	4.967375	0.3388044
70.5	4.889637	-14.24873
71	4.731876	-30.8417
71.5	4.607467	-43.84848
72	4.57831	-58.40104
72.5	4.581367	-72.87646
73	4.453019	-89.82127
73.5	4.29873	-103.1655
74	4.279716	-118.7315
74.5	4.096632	-133.6531
75	3.869525	-150.8157
75.5	3.721977	-161.5699
76	3.637332	-174.9044
76.5	3.627321	172.2444
77	3.610652	158.6902
77.5	3.537565	142.2417
78	3.28354	128.3476
78.5	3.272816	118.2644
79	3.174887	103.8353
79.5	3.075204	93.62305
80	3.12606	83.66181
80.5	3.289428	71.05371
81	3.332697	57.76223
81.5	3.469664	43.89654
82	3.428191	29.39515
82.5	3.372502	19.41411
83	3.622208	8.191168
83.5	3.844548	-4.782751
84	3.938878	-18.1788
84.5	4.21156	-31.05173
85	4.464118	-44.87964
85.5	4.730001	-59.57479
86	4.964728	-74.63944
86.5	5.169189	-88.40436
87	5.483294	-102.3547
87.5	5.889219	-117.4809
88	6.285772	-133.2595
88.5	6.674166	-149.575
89	6.952596	-166.57
89.5	7.369336	177.5338
90	7.751354	160.8162
90.5	8.10176	143.2977
91	8.384412	126.539
91.5	8.871823	109.6373
92	9.21088	91.09771
92.5	9.589302	73.0359
93	9.841207	54.2764
93.5	9.992894	36.36441
94	10.24839	17.61036
94.5	10.46413	-1.414141
95	10.41475	-21.75649
95.5	10.086	-41.60795
96	9.726853	-60.31247
96.5	9.186678	-79.24638
97	8.539858	-97.14744
97.5	7.821533	-113.6075
98	7.137885	-129.0441
98.5	6.519565	-142.4333
99	5.977068	-155.3447
99.5	5.564585	-164.9113
100	5.407912	-174.1416
100.5	5.382097	177.3866
101	5.676594	168.3831
101.5	6.053995	157.8276
102	6.494124	145.5391
102.5	7.100745	133.7834
103	7.704075	120.0789
103.5	8.610894	106.2296
104	9.434352	90.97657
104.5	10.45733	75.13642
105	11.49644	58.39677
105.5	12.6585	41.13836
106	13.7967	22.82187
106.5	15.03833	4.374887
107	16.25737	-15.04818
107.5	17.4437	-35.01727
108	18.37527	-55.31551
108.5	19.33615	-76.141
109	19.92866	-97.19508
109.5	20.34493	-118.2399
110	20.5372	-139.5974
110.5	20.28621	-160.584
111	19.94756	179.1885
111.5	19.61342	158.7705
112	18.8812	138.5797
112.5	18.1238	119.4344
113	17.4461	100.8485
113.5	16.8235	82.25116
114	16.21789	64.21843
114.5	15.59714	46.14285
115	14.97188	28.21676
115.5	14.42902	11.35217
116	14.04436	-6.099263
116.5	13.53294	-23.74312
117	13.06273	-40.33722
117.5	12.70784	-57.46436
118	12.2802	-74.23487
118.5	12.01239	-90.85401
119	11.77567	-107.9351
119.5	11.40915	-125.1828
120	11.08086	-141.9131
120.5	10.85002	-158.6818
121	10.53274	-175.8957
121.5	10.20811	167.1528
122	9.922461	150.927
122.5	9.674646	134.5499
123	9.673867	118.0232
123.5	9.507225	100.0747
124	9.192101	82.70198
124.5	8.941257	65.98583
125	8.720402	49.6737
125.5	8.62289	32.61489
126	8.44136	14.92448
126.5	8.214246	-1.37079
127	8.189589	-18.45214
127.5	8.078968	-36.39515
128	7.936374	-54.33556
128.5	7.667335	-72.04295
129	7.421143	-89.57082
129.5	7.316159	-105.8073
130	7.223545	-123.8503
130.5	7.08878	-141.9235
131	6.893988	-159.5687
131.5	6.889812	-176.9822
132	6.730844	163.2857
132.5	6.521836	145.6786
133	6.492424	127.7079
133.5	6.32289	108.0205
134	6.100249	89.97927
134.5	6.080384	73.02174
135	6.113185	53.30213
135.5	6.054163	33.78737
136	5.958028	14.26897
136.5	5.818125	-4.902256
137	5.83393	-23.0701
137.5	5.811661	-43.13595
138	5.909837	-61.94949
138.5	5.866209	-83.34003
139	5.877705	-101.2598
139.5	6.052381	-121.925
140	6.090586	-142.305
140.5	6.210232	-162.8103
141	6.174456	176.5045
141.5	6.286874	157.7867
142	6.588457	137.8694
142.5	6.68338	117.1327
143	7.029872	97.65859
143.5	7.196934	76.84162
144	7.526217	57.37659
144.5	7.853008	36.3424
145	8.127149	16.96362
145.5	8.601759	-3.846461
146	8.810132	-24.5668
