Source File Name:	17,3
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001135341	73.01183
10.5	0.0001117408	59.62798
11	0.0001135238	44.38396
11.5	0.0001126036	31.10296
12	0.0001132388	15.86831
12.5	0.0001136736	2.475155
13	0.0001126727	-12.2742
13.5	0.0001150105	-26.13851
14	0.0001131957	-40.36204
14.5	0.0001147873	-54.80559
15	0.0001141704	-68.18717
15.5	0.0001147074	-83.32415
16	0.0001145364	-96.82758
16.5	0.0001138862	-111.6677
17	0.0001151343	-125.1056
17.5	0.0001133964	-139.9638
18	0.0001153277	-153.8729
18.5	0.0001128414	-168.0721
19	0.0001144043	177.3145
19.5	0.0001129307	163.8204
20	0.0001136091	148.6157
20.5	0.0001134032	135.2888
21	0.0001126962	120.3286
21.5	0.000113263	106.648
22	0.0001119565	91.93324
22.5	0.0001131657	77.62112
23	0.0001119515	63.70615
23.5	0.00011293	49.00509
24	0.0001121839	35.2398
24.5	0.0001126372	20.21579
25	0.0001123563	6.727823
25.5	0.0001120387	-8.33502
26	0.0001129266	-21.95315
26.5	0.0001116799	-36.60023
27	0.0001126627	-50.69533
27.5	0.000111279	-64.88469
28	0.0001123657	-79.35457
28.5	0.0001114672	-93.13715
29	0.0001117056	-107.876
29.5	0.0001117096	-121.5773
30	0.0001108205	-136.2195
30.5	0.0001113735	-150.2521
31	0.0001104276	-164.6977
31.5	0.000110903	-178.8494
32	0.0001100484	166.9841
32.5	0.0001106074	152.3823
33	0.0001101405	138.4897
33.5	0.0001101853	123.7901
34	0.0001100485	109.898
34.5	0.0001095217	95.31262
35	0.0001098533	81.22279
35.5	0.0001093225	66.78803
36	0.000109539	52.62854
36.5	0.0001088726	38.27743
37	0.0001090714	24.00188
37.5	0.0001087849	9.907691
38	0.00010873	-4.662594
38.5	0.0001086682	-18.63802
39	0.0001084377	-33.16318
39.5	0.0001085238	-47.11808
40	0.000107882	-61.43658
40.5	0.0001080911	-75.60738
41	0.0001073262	-89.92809
41.5	0.0001078159	-104.1993
42	0.0001073446	-118.3241
42.5	0.000107102	-132.6733
43	0.0001070018	-146.8805
43.5	0.0001066265	-161.1817
44	0.0001063426	-175.4049
44.5	0.000106138	170.2328
45	0.0001060299	155.9989
45.5	0.0001056695	141.6412
46	0.0001057412	127.5842
46.5	0.0001052201	113.2042
47	0.0001052597	98.8893
47.5	0.000104902	84.68607
48	0.0001047211	70.42606
48.5	0.0001043986	56.15189
49	0.0001041737	41.91098
49.5	0.0001042168	27.63408
50	0.0001036819	13.3721
50.5	0.0001037435	-0.8501508
51	0.0001032781	-15.15841
51.5	0.0001032403	-29.39886
52	0.0001027226	-43.59546
52.5	0.0001028318	-57.96691
53	0.0001025791	-72.00057
53.5	0.0001021886	-86.32907
54	0.0001019586	-100.5186
54.5	0.0001016489	-114.8071
55	0.0001014965	-129.132
55.5	0.0001011775	-143.2673
56	0.0001011075	-157.5074
56.5	0.0001004952	-171.7452
57	0.0001003349	173.8852
57.5	0.0001003042	159.7186
58	9.978715e-5	145.5197
58.5	9.973431e-5	131.3431
59	9.934163e-5	117.0679
59.5	9.914881e-5	102.7287
60	9.871402e-5	88.50856
60.5	9.858886e-5	74.1424
61	9.821418e-5	59.89707
61.5	9.818785e-5	45.72216
62	9.752511e-5	31.517
62.5	9.76029e-5	17.09134
63	9.741492e-5	2.927717
63.5	9.709327e-5	-11.28701
64	9.71046e-5	-25.43108
64.5	9.621244e-5	-39.73122
65	9.626646e-5	-54.0837
65.5	9.59696e-5	-68.21426
66	9.576951e-5	-82.40964
66.5	9.546262e-5	-96.51503
67	9.520638e-5	-110.9732
67.5	9.491968e-5	-125.0438
68	9.467016e-5	-139.2453
68.5	9.43676e-5	-153.4852
69	9.402187e-5	-167.7629
69.5	9.374116e-5	177.8886
70	9.332407e-5	163.6812
70.5	9.328689e-5	149.5266
71	9.261045e-5	135.3073
71.5	9.25006e-5	120.93
72	9.227844e-5	106.7827
72.5	9.199268e-5	92.53864
73	9.16831e-5	78.28567
73.5	9.133082e-5	63.9682
74	9.107606e-5	49.72542
74.5	9.065132e-5	35.66433
75	9.068448e-5	21.26196
75.5	9.019608e-5	7.146172
76	8.987076e-5	-7.131063
76.5	8.94839e-5	-21.28563
77	8.91471e-5	-35.61587
77.5	8.898578e-5	-49.87833
78	8.886361e-5	-64.13984
78.5	8.856819e-5	-78.21661
79	8.81012e-5	-92.53134
79.5	8.788145e-5	-106.6753
80	8.734073e-5	-120.8993
80.5	8.71197e-5	-135.1716
81	8.698826e-5	-149.3351
81.5	8.665812e-5	-163.6553
82	8.616936e-5	-177.7603
82.5	8.574704e-5	167.9812
83	8.553935e-5	153.8777
83.5	8.509271e-5	139.5723
84	8.495593e-5	125.2606
84.5	8.46769e-5	111.1017
85	8.425651e-5	96.91928
85.5	8.388699e-5	82.64981
86	8.355193e-5	68.50571
86.5	8.309972e-5	54.17408
87	8.290048e-5	39.91205
87.5	8.274589e-5	25.74819
88	8.237545e-5	11.38174
88.5	8.207615e-5	-2.757668
89	8.179864e-5	-16.90415
89.5	8.148745e-5	-31.18791
90	8.129811e-5	-45.36003
90.5	8.09269e-5	-59.5825
91	8.058191e-5	-73.74566
91.5	8.007465e-5	-87.92315
92	7.992809e-5	-102.1484
92.5	7.942646e-5	-116.3019
93	7.909374e-5	-130.4738
93.5	7.881015e-5	-144.8316
94	7.852204e-5	-158.9496
94.5	7.825574e-5	-173.2932
95	7.78911e-5	172.6076
95.5	7.753267e-5	158.4168
96	7.719141e-5	144.2413
96.5	7.685352e-5	129.965
97	7.649669e-5	115.7369
97.5	7.620604e-5	101.4381
98	7.593808e-5	87.31416
98.5	7.569116e-5	73.18089
99	7.522228e-5	58.90612
99.5	7.497775e-5	44.69328
100	7.459517e-5	30.50385
100.5	7.428663e-5	16.23953
101	7.398197e-5	2.092362
101.5	7.367814e-5	-12.13943
102	7.348702e-5	-26.30928
102.5	7.290186e-5	-40.39462
103	7.268234e-5	-54.6708
103.5	7.236702e-5	-68.94169
104	7.207665e-5	-83.06047
104.5	7.167483e-5	-97.22547
105	7.143369e-5	-111.2415
105.5	7.094166e-5	-125.503
106	7.07076e-5	-139.8286
106.5	7.029978e-5	-153.8445
107	6.995095e-5	-168.0726
107.5	6.96525e-5	177.6873
108	6.924756e-5	163.525
108.5	6.905205e-5	149.3766
109	6.855864e-5	135.1195
109.5	6.845177e-5	120.9913
110	6.784481e-5	106.885
110.5	6.764691e-5	92.49132
111	6.735684e-5	78.54476
111.5	6.715275e-5	64.21838
112	6.666129e-5	50.07372
112.5	6.637107e-5	35.89119
113	6.600402e-5	21.74718
113.5	6.564749e-5	7.592382
114	6.531335e-5	-6.618246
114.5	6.493182e-5	-20.69307
115	6.477453e-5	-34.99223
115.5	6.436446e-5	-49.18463
116	6.418458e-5	-63.3151
116.5	6.373754e-5	-77.455
117	6.340318e-5	-91.66703
117.5	6.308963e-5	-105.6244
118	6.260415e-5	-120.0642
118.5	6.230376e-5	-134.0663
119	6.190399e-5	-148.2842
119.5	6.183898e-5	-162.441
120	6.12947e-5	-176.4653
120.5	6.113393e-5	169.1825
121	6.068373e-5	155.2275
121.5	6.032273e-5	140.7983
122	6.014224e-5	126.7768
122.5	5.973623e-5	112.7611
123	5.939068e-5	98.41047
123.5	5.892786e-5	84.36102
124	5.874718e-5	70.11302
124.5	5.841782e-5	56.02208
125	5.812559e-5	41.86339
125.5	5.791872e-5	27.68346
126	5.74672e-5	13.51568
126.5	5.719821e-5	-0.5914199
127	5.684296e-5	-14.76817
127.5	5.668434e-5	-28.9245
128	5.617362e-5	-42.93375
