Source File Name:	20,4 в макушку
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001310265	78.31206
10.5	0.0001315731	64.019
11	0.0001308931	49.98149
11.5	0.0001316581	36.24421
12	0.0001317749	22.04646
12.5	0.0001318911	8.330987
13	0.000132305	-5.665563
13.5	0.0001323599	-19.50487
14	0.0001332729	-33.64328
14.5	0.0001324264	-47.6154
15	0.0001330088	-61.28253
15.5	0.0001327433	-75.50085
16	0.0001322507	-89.1946
16.5	0.0001325682	-103.2293
17	0.0001320719	-117.2309
17.5	0.0001317446	-131.1313
18	0.0001315232	-145.0335
18.5	0.0001314255	-159.0408
19	0.0001311854	-173.0467
19.5	0.0001310312	172.9944
20	0.0001309317	158.8818
20.5	0.0001305858	144.9201
21	0.0001305847	130.8617
21.5	0.0001305798	116.7803
22	0.0001304878	102.738
22.5	0.0001304627	88.65119
23	0.0001304135	74.64346
23.5	0.0001305114	60.60382
24	0.0001306307	46.50546
24.5	0.0001306815	32.49099
25	0.0001308155	18.39942
25.5	0.0001308061	4.388625
26	0.0001307118	-9.567114
26.5	0.0001308035	-23.59136
27	0.0001309036	-37.53637
27.5	0.0001309708	-51.50625
28	0.0001307671	-65.5179
28.5	0.0001308724	-79.45765
29	0.0001308921	-93.51807
29.5	0.000130601	-107.345
30	0.0001307736	-121.3828
30.5	0.0001305103	-135.5483
31	0.0001303128	-149.3342
31.5	0.0001303372	-163.4424
32	0.0001298059	-177.4707
32.5	0.0001299959	168.6388
33	0.0001296818	154.3634
33.5	0.0001295676	140.5397
34	0.000129578	126.2892
34.5	0.0001289818	112.3209
35	0.00012965	98.37536
35.5	0.0001291743	84.1181
36	0.0001289154	70.27228
36.5	0.0001294396	56.07058
37	0.0001287658	41.98704
37.5	0.0001290866	28.13304
38	0.0001292774	13.92142
38.5	0.0001287714	-0.01967981
39	0.0001291895	-13.96988
39.5	0.0001288524	-28.16836
40	0.0001285672	-41.85514
40.5	0.0001289882	-56.10123
41	0.0001283902	-69.99215
41.5	0.0001290014	-83.85763
42	0.0001282845	-98.20442
