Source File Name:	20,4 в макушку
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
10	12.2977	60.65662
10.5	12.66386	45.4697
11	12.416	29.54317
11.5	13.90153	16.3774
12	13.00029	3.91668
12.5	13.03491	-23.29952
13	12.80076	-32.35183
13.5	14.60762	-46.31908
14	12.10479	-67.40472
14.5	12.5569	-84.12704
15	12.67703	-101.2222
15.5	12.24729	-114.1915
16	12.27949	-129.078
16.5	12.37402	-146.1525
17	12.20104	-168.5905
17.5	11.47042	174.2052
18	10.44878	152.8705
18.5	7.956809	166.0032
19	9.155723	124.2648
19.5	6.42179	107.6284
20	5.293372	103.6533
20.5	5.522979	106.5122
21	6.920681	100.8369
21.5	7.328198	80.78864
22	9.987949	84.76929
22.5	7.559527	56.83732
23	6.422905	52.07525
23.5	8.700879	24.60028
24	9.38679	10.55977
24.5	9.69136	-1.951204
25	9.236885	-19.32321
25.5	9.494215	-32.74502
26	10.04941	-46.9326
26.5	9.827602	-62.13887
27	10.31752	-78.44062
27.5	10.4483	-92.96243
28	10.64609	-106.6543
28.5	10.58358	-119.5796
29	10.55656	-135.6699
29.5	10.59807	-149.1434
30	10.40307	-164.8093
30.5	10.76702	-179.6764
31	10.80334	163.799
31.5	10.87334	148.5709
32	10.83752	134.4469
32.5	11.05309	119.5516
33	10.70844	105.3205
33.5	10.73666	90.53439
34	10.82667	74.92274
34.5	10.92134	59.1539
35	11.31122	44.68955
35.5	11.55611	29.01612
36	11.93415	13.97575
36.5	11.82433	-0.8988908
37	11.78711	-17.07846
37.5	11.67423	-31.86049
38	11.79496	-48.38266
38.5	11.95942	-63.46304
39	12.02959	-80.14013
39.5	12.29944	-94.99849
40	12.13754	-110.6731
40.5	12.32817	-126.386
41	11.93428	-142.1111
41.5	11.80224	-158.4144
42	11.35458	-173.1768
42.5	11.39277	171.5838
43	11.36407	157.2406
43.5	11.47153	139.8296
44	11.38563	126.4823
44.5	11.20787	111.01
45	11.33582	96.71228
45.5	10.94304	79.74445
46	11.02605	65.37856
46.5	10.66095	49.63955
47	10.87892	34.57627
47.5	10.81564	19.74632
48	11.0145	4.226383
48.5	10.83897	-8.804094
49	10.56721	-28.4507
49.5	10.55792	-39.81495
50	10.4083	-56.10646
50.5	10.49895	-69.52492
51	10.54364	-86.68043
51.5	10.70866	-101.4121
52	10.39623	-116.7286
52.5	10.48819	-130.0549
53	10.29613	-145.0202
53.5	10.20778	-160.9331
54	10.06502	-174.4848
54.5	10.30319	166.5185
55	9.854421	151.5717
55.5	10.09791	137.7917
56	10.11039	123.4032
56.5	9.949794	108.2191
57	9.857159	93.30022
57.5	9.624199	77.63577
58	9.839538	61.90323
58.5	9.737051	46.30993
59	9.895354	30.65358
59.5	9.759382	16.81991
60	9.781237	1.043296
60.5	9.604269	-13.32672
61	9.462802	-29.99221
61.5	9.360156	-44.96648
62	9.303519	-60.82513
62.5	9.418272	-75.82945
63	9.241224	-90.24911
63.5	9.369036	-105.0972
64	9.107272	-119.9166
64.5	9.036706	-136.2033
65	8.957628	-149.9227
65.5	8.949975	-166.8622
66	9.069642	178.7242
66.5	8.857029	162.366
67	9.051971	148.0729
67.5	8.725214	131.8716
68	8.909454	116.5399
68.5	8.597732	102.0061
69	8.755134	85.40916
69.5	8.551954	70.63963
70	8.402763	53.62451
