Source File Name:	3,1,2
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
20	0.0001141924	146.4518
20.5	0.0001141885	132.1111
21	0.0001138016	117.7269
21.5	0.000113826	103.168
22	0.0001134819	88.90957
22.5	0.0001132314	74.19516
23	0.0001135267	60.1301
23.5	0.0001135871	45.5998
24	0.0001136368	31.16836
24.5	0.0001134762	16.9032
25	0.0001135309	2.589519
25.5	0.0001138353	-11.69248
26	0.000113722	-26.14252
26.5	0.0001136663	-40.43565
27	0.0001137415	-54.73428
27.5	0.0001136463	-68.95478
28	0.0001136778	-83.15405
28.5	0.000113675	-97.47189
29	0.0001135884	-111.8005
29.5	0.0001132957	-125.9647
30	0.000113181	-140.3347
30.5	0.0001130605	-154.643
31	0.0001126707	-169.0723
31.5	0.0001126971	176.7034
32	0.0001122205	162.3474
32.5	0.0001119676	147.9585
33	0.0001120039	133.5699
33.5	0.0001116554	119.049
34	0.0001115659	104.7881
34.5	0.0001114685	90.5319
35	0.0001112775	75.99586
35.5	0.0001111247	61.50057
36	0.0001110419	47.29939
36.5	0.0001110862	33.01125
37	0.0001109659	18.509
37.5	0.0001110144	4.210165
38	0.0001109716	-10.02058
38.5	0.0001109589	-24.3227
39	0.0001110929	-38.70291
39.5	0.0001110247	-52.91122
40	0.0001108084	-67.4725
40.5	0.0001107097	-81.68034
41	0.0001105582	-95.93315
41.5	0.0001105115	-110.2478
42	0.0001101856	-124.5203
42.5	0.0001100613	-138.7908
43	0.0001097625	-153.1461
43.5	0.0001093925	-167.5511
44	0.0001093166	178.1736
44.5	0.0001093155	163.9075
45	0.0001088838	149.5395
45.5	0.0001087753	135.1266
46	0.0001085263	120.7877
46.5	0.0001083993	106.4439
47	0.0001081482	92.1344
47.5	0.0001081603	77.67782
48	0.0001080128	63.46423
48.5	0.000107864	49.02864
49	0.000107802	34.6454
49.5	0.0001075441	20.24317
50	0.0001074742	6.022735
50.5	0.000107423	-8.340313
51	0.0001073926	-22.74631
51.5	0.0001072345	-36.992
52	0.0001070051	-51.33612
52.5	0.0001067737	-65.52345
53	0.0001068252	-79.9481
53.5	0.0001066331	-94.13496
54	0.0001061873	-108.595
54.5	0.000105983	-122.7775
55	0.000105881	-137.1566
55.5	0.0001056634	-151.5216
56	0.0001054009	-165.784
56.5	0.0001051383	179.8727
57	0.0001048914	165.5149
57.5	0.0001045454	151.1791
58	0.0001043766	136.9118
58.5	0.0001043285	122.5215
59	0.0001037956	108.1451
59.5	0.0001039906	93.75264
60	0.0001037428	79.37489
60.5	0.000103528	65.0823
61	0.0001032413	50.76339
61.5	0.0001032356	36.38578
62	0.0001029663	21.92087
62.5	0.0001029224	7.686767
63	0.0001026391	-6.584545
63.5	0.0001024428	-20.89579
64	0.0001022052	-35.16635
64.5	0.0001028044	-49.69977
65	0.0001021835	-63.79124
65.5	0.0001016459	-78.11135
66	0.0001016469	-92.34431
66.5	0.00010132	-106.6993
67	0.0001011304	-121.0273
67.5	0.0001008057	-135.2372
68	0.0001005626	-149.6534
68.5	0.0001002585	-163.9974
69	0.0001002366	-178.1698
69.5	9.976125e-5	167.4032
70	9.959853e-5	153.0583
70.5	9.899398e-5	138.6631
71	9.918868e-5	124.3548
71.5	9.867296e-5	110.0954
72	9.851175e-5	95.63965
72.5	9.840164e-5	81.36109
73	9.793601e-5	66.98811
73.5	9.790148e-5	52.57373
74	9.773018e-5	38.2265
74.5	9.757093e-5	24.00314
75	9.723855e-5	9.623085
75.5	9.721313e-5	-4.763819
76	9.692182e-5	-19.06969
76.5	9.675144e-5	-33.25351
77	9.674026e-5	-47.61164
77.5	9.631273e-5	-61.92866
78	9.602432e-5	-76.22852
78.5	9.581309e-5	-90.57665
79	9.557105e-5	-104.8406
79.5	9.534174e-5	-119.1203
80	9.528562e-5	-133.4438
80.5	9.492919e-5	-147.7491
81	9.442673e-5	-162.1063
81.5	9.422865e-5	-176.3811
82	9.393541e-5	169.1766
82.5	9.377338e-5	154.9918
83	9.348638e-5	140.6526
83.5	9.310476e-5	126.2304
84	9.276342e-5	111.9084
84.5	9.270827e-5	97.67472
85	9.256216e-5	83.3748
85.5	9.220513e-5	68.89307
86	9.200399e-5	54.54451
86.5	9.179289e-5	40.26559
87	9.162727e-5	25.98655
87.5	9.132717e-5	11.65284
88	9.114359e-5	-2.678525
88.5	9.090656e-5	-16.96131
89	9.06601e-5	-31.27586
89.5	9.05234e-5	-45.47492
90	9.009026e-5	-59.85633
90.5	9.005845e-5	-74.08192
91	8.962882e-5	-88.41679
91.5	8.933974e-5	-102.6884
92	8.901973e-5	-116.8945
92.5	8.890554e-5	-131.2457
93	8.852043e-5	-145.5436
93.5	8.820154e-5	-159.9063
94	8.810405e-5	-174.1453
94.5	8.758053e-5	171.571
95	8.730865e-5	157.2572
95.5	8.722437e-5	142.8829
96	8.673937e-5	128.4808
96.5	8.649506e-5	114.1748
97	8.625571e-5	99.89778
97.5	8.595877e-5	85.49697
98	8.569662e-5	71.28714
