Source File Name:	1,1,3
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
20	2.61592e-5
20.5	2.329169e-5
21	2.611109e-5
21.5	2.478251e-5
22	2.228052e-5
22.5	2.081189e-5
23	1.871483e-5
23.5	1.720628e-5
24	1.328541e-5
24.5	8.852534e-6
25	9.164117e-6
25.5	6.507563e-6
26	2.919126e-6
26.5	1.844245e-6
27	2.916539e-6
27.5	5.909757e-6
28	8.307028e-6
28.5	1.044557e-5
29	1.017567e-5
29.5	1.14514e-5
30	1.438175e-5
30.5	1.45834e-5
31	1.403698e-5
31.5	1.607281e-5
32	1.311799e-5
32.5	1.482936e-5
33	1.387658e-5
33.5	1.57559e-5
34	1.238998e-5
34.5	1.339181e-5
35	1.400031e-5
35.5	1.38313e-5
36	1.355721e-5
36.5	1.608358e-5
37	1.468967e-5
37.5	1.567079e-5
38	1.616509e-5
38.5	1.453613e-5
39	1.575753e-5
39.5	1.380803e-5
40	1.185469e-5
40.5	1.227314e-5
41	1.076432e-5
41.5	1.190348e-5
42	1.092349e-5
42.5	1.247305e-5
43	1.126152e-5
43.5	1.208111e-5
44	1.083855e-5
44.5	9.726804e-6
45	1.072089e-5
45.5	1.079049e-5
46	9.680427e-6
46.5	1.028581e-5
47	1.186438e-5
47.5	1.291923e-5
48	9.79549e-6
48.5	1.18959e-5
49	1.143113e-5
49.5	1.131344e-5
50	0.0004663818
50.5	2.438158e-5
51	1.38478e-5
51.5	1.30315e-5
52	1.242515e-5
52.5	1.28734e-5
53	1.313795e-5
53.5	1.480242e-5
54	1.392613e-5
54.5	1.383519e-5
55	1.705113e-5
55.5	1.523565e-5
56	1.472924e-5
56.5	1.284482e-5
57	1.263698e-5
57.5	1.001439e-5
58	1.140658e-5
58.5	9.067152e-6
59	1.105964e-5
59.5	9.316037e-6
60	1.052238e-5
60.5	8.471739e-6
61	7.719826e-6
61.5	8.024347e-6
62	7.578806e-6
62.5	8.984122e-6
63	1.056409e-5
63.5	1.135443e-5
64	1.430176e-5
64.5	1.41581e-5
65	1.481004e-5
65.5	1.50981e-5
66	1.381021e-5
66.5	1.345902e-5
67	1.296225e-5
67.5	1.388652e-5
68	1.274554e-5
68.5	1.294571e-5
69	1.248237e-5
69.5	1.232453e-5
70	1.122282e-5
70.5	9.465341e-6
71	1.203833e-5
71.5	9.67918e-6
72	8.966177e-6
72.5	1.008933e-5
73	9.89322e-6
73.5	9.93204e-6
74	1.092718e-5
74.5	9.317693e-6
75	1.109844e-5
75.5	1.141141e-5
76	1.100841e-5
76.5	1.036293e-5
77	1.074865e-5
77.5	1.137861e-5
78	1.225798e-5
78.5	1.176079e-5
79	1.206913e-5
79.5	1.191825e-5
80	1.123034e-5
80.5	1.07607e-5
81	9.007548e-6
81.5	9.016875e-6
82	7.993941e-6
82.5	8.904963e-6
83	9.166455e-6
83.5	6.923982e-6
84	8.286449e-6
84.5	7.44431e-6
85	8.207058e-6
85.5	6.820747e-6
86	8.561728e-6
86.5	9.304373e-6
87	7.532059e-6
87.5	9.800433e-6
88	1.102246e-5
88.5	1.155984e-5
89	1.195749e-5
89.5	1.044198e-5
90	1.056995e-5
90.5	1.16567e-5
91	1.089507e-5
91.5	1.055892e-5
92	1.042209e-5
92.5	1.008106e-5
93	1.125573e-5
93.5	1.000187e-5
94	8.974737e-6
94.5	8.383388e-6
95	7.782482e-6
95.5	6.413965e-6
96	8.796583e-6
96.5	6.977445e-6
97	8.315218e-6
97.5	8.265511e-6
98	6.621845e-6
98.5	8.399144e-6
99	7.823842e-6
99.5	8.413186e-6
100	3.208761e-6
100.5	1.209517e-5
101	1.051681e-5
101.5	1.015612e-5
102	9.646727e-6
102.5	9.905246e-6
103	9.503215e-6
103.5	9.169409e-6
104	1.03733e-5
104.5	8.43707e-6
105	8.315411e-6
105.5	8.587885e-6
106	7.72463e-6
106.5	7.260152e-6
107	6.619944e-6
107.5	6.046834e-6
